GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.011443507,0.011436134,0.011400701,0.014324254,0.012615828,0.013138439,0.013764592,0.014203952,0.012425325,0.011420687,0.012478086,0.0140415905,0.010850117,0.011930322,0.011676628,0.013454737,0.009876753,0.0106530385,0.010513367,0.01131787
0.10077132,0.10218095,0.12851804,0.14189604,0.11205292,0.115071565,0.1369926,0.14064366,0.11058322,0.1037006,0.13211568,0.13989304,0.10542467,0.11000946,0.13116403,0.13694516,0.09921603,0.09777042,0.12935641,0.13211447
0.21125287,0.19369456,0.17451331,0.15029596,0.19716772,0.1773059,0.167372,0.15050608,0.20236441,0.18193573,0.17670707,0.15214905,0.20344092,0.17543618,0.17335036,0.15583403,0.21219985,0.19903797,0.17124183,0.1579311
0.6011925,0.49785465,0.5544754,0.4517952,0.5706004,0.4614317,0.5311419,0.44862726,0.5733423,0.43383306,0.54198825,0.44622877,0.58973026,0.43589637,0.54826677,0.45621362,0.6102107,0.52647054,0.5574731,0.49329072
1.0386702,0.7520291,1.0287303,0.74562895,0.99144846,0.7112445,0.9880886,0.7488937,0.97978073,0.9748766,0.97362036,0.73908406,1.0050242,0.76606685,0.9995436,0.7482658,1.2060981,0.9264758,1.1604513,0.95091003
0.75522846,0.5936357,0.77359635,0.59270155,0.7183031,0.58411664,0.74000853,0.6082022,0.8067716,0.71346456,0.6901617,0.5970619,0.79990685,0.58572096,0.8204071,0.5421115,1.007536,0.7795967,0.9936193,0.8127843
4.4817033,3.9944139,4.643599,4.05741,4.361816,4.0273924,4.5290613,4.1529527,4.695167,4.398978,4.318879,4.1112566,4.8312507,3.8184075,4.904213,3.8415492,5.4053335,4.7396207,5.434779,4.9024644
0.12898162,0.0865361,0.090497844,0.08548328,0.14868127,0.09513116,0.09916862,0.1032859,0.08881485,0.12146929,0.1329317,0.08804537,0.09148196,0.10666656,0.09018971,0.2348663,0.12220542,0.17161122,0.14678329,0.1768239
0.11909186,0.08139624,0.07477884,0.07121073,0.14422695,0.083826475,0.091005675,0.057878718,0.12358239,0.16935678,0.12489716,0.07350959,0.06357999,0.10822787,0.05327597,0.06801868,0.044114333,0.04585184,0.05114485,0.05230433
0.052578133,0.05921627,0.053113855,0.06393444,0.05413652,0.06516606,0.04794689,0.116854936,0.056400064,0.071397334,0.048429683,0.06330542,0.055027664,0.066693954,0.04892484,0.06630362,0.08877096,0.09854576,0.09697545,0.11245859
0.24005486,0.1681655,0.2014545,0.15503258,0.2885071,0.08188084,0.24914388,0.030552097,0.22759509,0.35264963,0.2789733,0.16788812,0.33691257,0.1560637,0.32334822,0.1790936,0.13212295,0.10350912,0.12989806,0.09230092
0.019127838,0.02409742,0.024112891,0.03016593,0.015169951,0.05489411,0.018743087,0.117720366,0.026266608,0.017973488,0.019263275,0.028177865,0.023225473,0.031800967,0.020167964,0.02433511,0.021972926,0.027846985,0.024222847,0.034434773
0.073858015,0.071818694,0.07205255,0.0742727,0.06722837,0.08197048,0.06539253,0.12157037,0.078563616,0.06418424,0.06474729,0.07194399,0.07041722,0.074125566,0.06469417,0.07951739,0.07188382,0.07609752,0.06759556,0.07906721
0.59931886,0.6346869,0.5898629,0.6479424,0.5329136,0.7059452,0.5196005,0.78731424,0.6221531,0.5905631,0.50810915,0.6733179,0.43254903,0.7483397,0.45816675,0.44436806,0.5998562,0.6533134,0.5595706,0.66761684
0.15586694,0.123010285,0.14733459,0.111978866,0.1981106,0.080460064,0.19022234,0.09642393,0.15834257,0.0829817,0.21244623,0.09832713,0.28569806,0.05527298,0.24587204,0.19991462,0.104477994,0.08116443,0.11973327,0.07292145
0.03655424,0.054419998,0.033738997,0.055903118,0.025677783,0.09197808,0.022933977,0.064417906,0.033921484,0.07303081,0.020959424,0.07246166,0.020747079,0.12917434,0.018675152,0.03176167,0.044550065,0.067834534,0.03373373,0.06807014
0.04238789,0.07434308,0.03803457,0.06898041,0.030903418,0.12796794,0.027190892,0.078196436,0.036894236,0.09865976,0.025287217,0.094211206,0.025615614,0.18735443,0.023165904,0.048153833,0.05307872,0.08974855,0.039469246,0.08125244
