model,layers,estimation,hidden,lr,epochs,seed,valid_mse,valid_qlike,test_mse_diagnostic,test_qlike_diagnostic,selected
GNNHAR1L-IV,1,MSE,8,0.0003,250,20260605,14.636738777160645,0.008452832698822021,8.933775901794434,0.006018434185534716,False
GNNHAR1L-IV,1,MSE,8,0.0003,300,20260605,11.412282943725586,0.007026358973234892,7.918365478515625,0.0056016892194747925,False
GNNHAR1L-IV,1,MSE,8,0.0003,500,20260605,7.469669342041016,0.004998679272830486,7.049617767333984,0.005085160490125418,False
GNNHAR1L-IV,1,MSE,8,0.001,250,20260605,3.6719281673431396,0.0029230902437120676,5.230555057525635,0.0038660066202282906,False
GNNHAR1L-IV,1,MSE,8,0.001,300,20260605,2.7788901329040527,0.0022040805779397488,4.458800315856934,0.003245364874601364,False
GNNHAR1L-IV,1,MSE,8,0.001,500,20260605,1.5486655235290527,0.001259811338968575,1.83517587184906,0.0014717290177941322,False
GNNHAR1L-IV,1,MSE,8,0.003,250,20260605,1.404693365097046,0.0011472930200397968,1.647177815437317,0.0012982855550944805,False
GNNHAR1L-IV,1,MSE,8,0.003,300,20260605,1.246273398399353,0.0010354308178648353,1.443650722503662,0.0011207377538084984,False
GNNHAR1L-IV,1,MSE,8,0.003,500,20260605,1.017380952835083,0.0008824560791254044,1.1645891666412354,0.0009233944001607597,False
GNNHAR1L-IV,1,MSE,16,0.0003,250,20260605,6.674651622772217,0.004385712556540966,5.184845447540283,0.003976455423980951,False
GNNHAR1L-IV,1,MSE,16,0.0003,300,20260605,5.846614360809326,0.003914486151188612,4.737552642822266,0.0036171656101942062,False
GNNHAR1L-IV,1,MSE,16,0.0003,500,20260605,3.3500611782073975,0.0024699505884200335,3.2669553756713867,0.0024652471765875816,False
GNNHAR1L-IV,1,MSE,16,0.001,250,20260605,1.983133316040039,0.0015494470717385411,2.054185152053833,0.0015514929546043277,False
GNNHAR1L-IV,1,MSE,16,0.001,300,20260605,1.8057985305786133,0.0013968223938718438,1.8219358921051025,0.0013692204374819994,False
GNNHAR1L-IV,1,MSE,16,0.001,500,20260605,1.4226211309432983,0.0011252624681219459,1.4530823230743408,0.001092388411052525,False
GNNHAR1L-IV,1,MSE,16,0.003,250,20260605,1.2970024347305298,0.0010349322110414505,1.2845224142074585,0.0009750828612595797,False
GNNHAR1L-IV,1,MSE,16,0.003,300,20260605,1.1839021444320679,0.0009596748277544975,1.1894526481628418,0.0009120854665525258,False
GNNHAR1L-IV,1,MSE,16,0.003,500,20260605,1.0279161930084229,0.0008466040017083287,1.0789315700531006,0.0008382295491173863,False
GNNHAR1L-IV,1,MSE,32,0.0003,250,20260605,7.154196262359619,0.005310747306793928,7.123038291931152,0.006636877078562975,False
GNNHAR1L-IV,1,MSE,32,0.0003,300,20260605,6.075009822845459,0.004527477081865072,6.522132396697998,0.0060155922546982765,False
GNNHAR1L-IV,1,MSE,32,0.0003,500,20260605,3.4612205028533936,0.002546732546761632,5.22430419921875,0.004283950664103031,False
GNNHAR1L-IV,1,MSE,32,0.001,250,20260605,2.1012651920318604,0.0015832629287615418,3.676802635192871,0.002653849311172962,False
GNNHAR1L-IV,1,MSE,32,0.001,300,20260605,1.7831077575683594,0.0013818311272189021,2.902360439300537,0.0020655356347560883,False
GNNHAR1L-IV,1,MSE,32,0.001,500,20260605,1.261142611503601,0.0010458105243742466,1.491088628768921,0.0011046213330700994,False
GNNHAR1L-IV,1,MSE,32,0.003,250,20260605,1.187788724899292,0.000988999498076737,1.2801313400268555,0.0009824201697483659,False
GNNHAR1L-IV,1,MSE,32,0.003,300,20260605,1.145925521850586,0.0009533184347674251,1.189802646636963,0.0009227071423083544,False
GNNHAR1L-IV,1,MSE,32,0.003,500,20260605,1.0253658294677734,0.0008630102383904159,1.0670467615127563,0.0008352386648766696,False
GNNHAR1L-IV,1,MSE,64,0.0003,250,20260605,4.89827823638916,0.003628878854215145,5.0441789627075195,0.004485879559069872,False
