GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.006770583,0.006455501,0.0058387397,0.0046845875,0.006843416,0.0065247337,0.005780645,0.004966374,0.0071204663,0.005528311,0.0060765585,0.004702739,0.007150038,0.005850784,0.0056946673,0.0048531215,0.00743316,0.0082465885,0.0056027016,0.0049833776,0.0074156127,0.0066923895,0.0056587975,0.0052629393,0.007431018,0.006245442,0.0060349624,0.0047082105
0.02944022,0.034833446,0.029133515,0.028456036,0.030163039,0.03173258,0.029066784,0.029276406,0.031836625,0.03019632,0.03004781,0.02793696,0.031049041,0.033354796,0.02935872,0.029563637,0.032712754,0.03335885,0.028867539,0.03028763,0.032001697,0.03177875,0.030319083,0.03030513,0.030549638,0.03028681,0.03041381,0.028131302
0.011517306,0.010997271,0.010820377,0.010015782,0.011225919,0.011859715,0.010888334,0.009943271,0.011860967,0.012303003,0.011132721,0.010016632,0.011366566,0.011671166,0.010977193,0.009948325,0.012295536,0.011504841,0.010739963,0.010170786,0.010114328,0.01194762,0.010506062,0.010285039,0.01198984,0.012625134,0.010583925,0.010536659
0.0036672752,0.0042698183,0.0025457463,0.0032643755,0.0035630742,0.005967716,0.002569274,0.0029969574,0.0035891095,0.0041775308,0.002667765,0.0028187037,0.004727566,0.00445168,0.0025179267,0.0030125896,0.005399545,0.0032958866,0.0023664117,0.0027945875,0.0038134933,0.004339822,0.0023171029,0.0031378467,0.004698026,0.0038602431,0.0027130286,0.002858595
0.0068566957,0.009388912,0.007244623,0.0068551777,0.0077134925,0.008750649,0.0072430293,0.0075575192,0.0070618233,0.008586816,0.0067491173,0.008287449,0.0068308236,0.010490906,0.0070809843,0.0073150555,0.006367103,0.010153417,0.0073881624,0.0081693055,0.010042147,0.012776156,0.0074844,0.0073725027,0.0066449046,0.012582167,0.0070338924,0.0078087845
0.004807011,0.006739056,0.0045984746,0.0052055917,0.005416167,0.00848701,0.0047040265,0.004955423,0.0049312273,0.004789897,0.0043728193,0.00588094,0.0049370485,0.0058477917,0.0046494007,0.0050528445,0.004983453,0.0059208074,0.004530537,0.0050598024,0.006642294,0.008576786,0.0046293535,0.0050252597,0.004836746,0.007290105,0.0042744596,0.004945656
0.005039839,0.0058320323,0.0039379,0.0052182395,0.0043988307,0.006327653,0.003828319,0.0051641385,0.0048670094,0.006166319,0.004033895,0.0045176786,0.0052673738,0.005117166,0.0037521084,0.0049209516,0.0060273884,0.005234571,0.0038617174,0.004767132,0.003971056,0.0051401653,0.0038595397,0.004818368,0.005679687,0.00552086,0.0043726405,0.004769226
0.018863846,0.016912842,0.017275441,0.016133232,0.018547595,0.017219028,0.0172476,0.016215546,0.018553657,0.01885506,0.017218975,0.015793903,0.020075452,0.017909857,0.017074522,0.016313802,0.020249732,0.017198551,0.017013991,0.016106034,0.018498845,0.016762214,0.017012544,0.01621575,0.019828474,0.01711223,0.017908994,0.016268948
0.0027020932,0.0033065756,0.0014779131,0.002651461,0.0022549431,0.0035139003,0.0014579813,0.0026179194,0.001994884,0.0060756365,0.0013685266,0.0020251472,0.0035096367,0.0043112594,0.0014177322,0.002973493,0.0034720064,0.0024368365,0.00127424,0.0023245374,0.0022118965,0.00274992,0.0012455861,0.0026466728,0.003984396,0.0033560118,0.0018944026,0.0029556593
0.001473864,0.002339097,0.0011426131,0.0020575246,0.002063791,0.00323658,0.0011410316,0.001982248,0.0017161448,0.0045185564,0.0012694836,0.002003173,0.0022371688,0.0037449598,0.0010894377,0.0020586213,0.0021721444,0.0038582364,0.0011625489,0.0019497514,0.0033636412,0.0027338187,0.0011272987,0.0021211742,0.0019331177,0.002585749,0.0010833105,0.0020194093
