GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.06951996,0.046961274,0.06410138,0.04717474,0.06932821,0.04903931,0.06252002,0.05111868,0.08108883,0.043796036,0.06755409,0.04247106,0.06950863,0.041583855,0.06272916,0.04609554,0.080911465,0.056957085,0.063126944,0.051027473,0.075474784,0.049727336,0.06688566,0.052092627,0.06895142,0.050384298,0.06766566,0.044010278
0.16137342,0.15445434,0.19352645,0.18265185,0.15914698,0.1466453,0.18943453,0.18657273,0.16031055,0.14434887,0.19676842,0.18634717,0.165498,0.14639997,0.18711203,0.19156519,0.15712602,0.14325431,0.18969508,0.18955752,0.16530077,0.14603825,0.18987781,0.1869784,0.16330157,0.15218183,0.20464422,0.1839487
0.09903383,0.09080672,0.06901111,0.06395164,0.11043594,0.09870376,0.07139374,0.064589575,0.10802958,0.10782894,0.06874413,0.06493328,0.11287904,0.10788074,0.07169486,0.06409482,0.10916291,0.10172729,0.0676761,0.06488517,0.11087998,0.103163235,0.06563947,0.06594662,0.099384196,0.10189377,0.06506725,0.06952245
0.19434468,0.21858726,0.1666987,0.19084367,0.21387357,0.23252597,0.17014088,0.18858534,0.21288525,0.24097705,0.17058846,0.19234905,0.22060174,0.24866113,0.1722062,0.18868205,0.21695296,0.2321427,0.16738203,0.18716215,0.21900423,0.23366186,0.16287877,0.19418867,0.19266193,0.2178709,0.15621077,0.19293877
0.048984118,0.054937776,0.037279125,0.044598356,0.070607506,0.06413016,0.039197225,0.043609004,0.06282516,0.068052076,0.03997039,0.046262342,0.06966421,0.07731195,0.040175788,0.04333551,0.0640182,0.06452213,0.03850863,0.043498162,0.08287021,0.06830042,0.036883425,0.045596816,0.04688055,0.057646725,0.033975083,0.04460874
0.059936866,0.08114021,0.052970972,0.06486208,0.07850398,0.09769989,0.055142473,0.0599593,0.071973726,0.111196525,0.05588083,0.067078255,0.07760916,0.11763682,0.055404063,0.06633938,0.07455759,0.09851983,0.052845225,0.05977745,0.085394174,0.10488688,0.052175753,0.06847333,0.060291264,0.08188925,0.056635957,0.061641444
0.052290473,0.065562144,0.05431407,0.08055136,0.043530006,0.063330345,0.050689973,0.084185876,0.045885716,0.060140204,0.049579,0.07280326,0.044261757,0.055797562,0.049561907,0.076433234,0.04790647,0.0574021,0.053561404,0.08083912,0.040603947,0.053925324,0.056505784,0.074640684,0.05181373,0.06496859,0.06132277,0.07284597
0.89066637,0.8526821,0.9303877,0.8399093,0.85768974,0.8275438,0.92289835,0.86130637,0.8624187,0.8536738,0.9191839,0.83156496,0.86317366,0.83508086,0.915898,0.8488293,0.87085754,0.8418876,0.9238304,0.8587666,0.8545893,0.82245576,0.9383681,0.83330166,0.91180724,0.8544413,0.9926865,0.83910066
0.019115638,0.031346366,0.0075919954,0.025890285,0.017045047,0.029129712,0.007138943,0.026179712,0.015426365,0.043891966,0.005785408,0.020758873,0.01787215,0.03575995,0.00695364,0.026588839,0.017030176,0.020938536,0.0067231325,0.023214126,0.016389266,0.025573943,0.0073523014,0.0241271,0.022322835,0.030632192,0.011347712,0.023072265
0.014024197,0.027301045,0.0122022,0.026678571,0.020662554,0.029610528,0.012384963,0.025519125,0.017945403,0.03833859,0.013922574,0.024918484,0.017872447,0.035172,0.0121324295,0.026916951,0.016254364,0.028264217,0.011954863,0.024218297,0.02626739,0.028138569,0.012100318,0.026685126,0.013279747,0.026085533,0.014156516,0.022761177
11.297094,10.951055,11.000595,10.807561,11.390301,10.981311,11.013003,10.829024,11.328181,10.870561,10.963401,10.829051,11.317877,10.926146,11.01804,10.8048525,11.2893305,11.054851,11.013931,10.843384,11.384598,11.015379,10.999919,10.80174,11.271921,11.070882,10.894274,10.877116
0.16485319,0.22423883,0.101194374,0.110316426,0.07548841,0.15720487,0.08296441,0.1443048,0.10374994,0.115660004,0.058365602,0.07045775,0.0701605,0.092157446,0.079048246,0.11106277,0.08453159,0.15938976,0.11272145,0.12954709,0.076670505,0.11057305,0.13670403,0.06995632,0.20741674,0.24334583,0.19421302,0.08806019
0.28041407,0.32222763,0.3000982,0.38425598,0.33154255,0.3467394,0.310778,0.35619986,0.3517755,0.40009663,0.354831,0.43117952,0.3534423,0.43786094,0.31175792,0.39332473,0.36103883,0.41262817,0.30192858,0.36550897,0.34858975,0.3717486,0.27776673,0.4331214,0.25253788,0.3063654,0.25677344,0.3830711
0.028614914,0.068873845,0.017555138,0.03847083,0.016769234,0.05110587,0.015243425,0.03828633,0.019318456,0.057560842,0.012949193,0.04102713,0.018021243,0.06935153,0.014165928,0.041905656,0.01674968,0.04631977,0.020372272,0.03512938,0.017005319,0.053692445,0.022977978,0.044188183,0.037657227,0.06915406,0.04031552,0.03396774
0.10798187,0.103261195,0.104796104,0.17913254,0.12546475,0.11991347,0.10695185,0.16243008,0.12614714,0.11134665,0.1169015,0.19661342,0.12843855,0.12166332,0.109435156,0.17444597,0.13047202,0.11667668,0.10439956,0.17073171,0.12153868,0.11397644,0.09672525,0.19614586,0.094016545,0.08789713,0.071067415,0.1676326
