GHAR2H_M,GHAR2H_M_IV,GHAR3H_M,GHAR3H_M_IV,GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.00875511,0.009342488,0.009017158,0.009408639,0.008446847,0.009343682,0.0075979703,0.007432652,0.008534805,0.009923274,0.0076327114,0.007449729,0.008857534,0.010323176,0.0075664087,0.0077037234,0.008842635,0.010409004,0.007517048,0.0075879227,0.0088610295,0.011131106,0.007611411,0.007560557,0.008956716,0.01096947,0.00755284,0.007615439,0.009915748,0.009810553,0.00782089,0.007372061
0.022333423,0.02346749,0.022700593,0.023425978,0.022372318,0.0236713,0.02329027,0.023108616,0.023252519,0.026693847,0.023169743,0.02324218,0.022930237,0.027825002,0.023478448,0.024019608,0.023087407,0.024405481,0.023533192,0.023461537,0.023119617,0.029624673,0.023091707,0.023230094,0.022974813,0.028101528,0.02341819,0.023720521,0.024307378,0.022784522,0.024247227,0.021987831
0.032004196,0.031333406,0.03202967,0.031399254,0.03160365,0.031419404,0.030155232,0.028865088,0.031428475,0.032154705,0.030284153,0.028957933,0.03201329,0.031130042,0.030061292,0.02858057,0.031219436,0.032256484,0.030086687,0.028432786,0.031355493,0.031680264,0.030117473,0.02873697,0.03145096,0.03098142,0.030108241,0.028817317,0.03133127,0.032114528,0.029941618,0.02915095
0.0032159234,0.0032055168,0.0036991849,0.0032545158,0.0030198332,0.0031804214,0.0021018537,0.0021809011,0.0028298635,0.0034724893,0.0021952745,0.0022341877,0.0030350292,0.0031991228,0.002108519,0.002192065,0.0028208585,0.003884516,0.0021097031,0.0021991325,0.003050038,0.003626585,0.0021460725,0.0022539373,0.0035059243,0.0032708999,0.0020420891,0.002354589,0.0044869077,0.0035552166,0.0021682729,0.0022505862
0.0648937,0.058618844,0.06492788,0.058609422,0.06463276,0.05868529,0.064153254,0.058955446,0.06497532,0.059923183,0.063903056,0.058785375,0.06531934,0.05989662,0.06477513,0.05905404,0.066856824,0.059446014,0.06458536,0.059357665,0.065666676,0.059263084,0.06449326,0.0588107,0.06499676,0.05864472,0.0647394,0.05851332,0.064474486,0.058407083,0.063999176,0.059012596
0.013683461,0.015986422,0.013475383,0.016140522,0.013464186,0.01611761,0.012849434,0.012991695,0.013244857,0.016792772,0.012875295,0.013045674,0.014001067,0.017174803,0.012774483,0.012530779,0.014835348,0.016942121,0.013088335,0.012781929,0.013282092,0.016603528,0.013159069,0.012749331,0.0149701005,0.014992969,0.013094576,0.012686681,0.011746855,0.015884671,0.012745442,0.012837327
0.008509903,0.008530994,0.009124111,0.008523374,0.007791345,0.008615064,0.0066090375,0.007361315,0.0075685442,0.008346541,0.0067658043,0.007449517,0.008696321,0.008876923,0.007159398,0.0073335906,0.009379052,0.009271795,0.0071235215,0.0072406624,0.008138245,0.009057529,0.0074305036,0.007493589,0.011263589,0.008259661,0.0067860465,0.007531123,0.008647515,0.008773859,0.006585476,0.0074137906
0.026876062,0.025443455,0.027295036,0.02544617,0.026297376,0.025502352,0.025905704,0.025252525,0.026151542,0.0253154,0.026056955,0.02534367,0.026759831,0.025732491,0.026037997,0.025077716,0.026941724,0.026287744,0.026168862,0.025044594,0.026462922,0.025501953,0.02636552,0.025202237,0.02981869,0.025142541,0.025873054,0.025306135,0.027852688,0.025395,0.026124889,0.025135523
0.0045526554,0.0048489426,0.0049565323,0.0048846793,0.004236714,0.004891228,0.0032159667,0.0038506985,0.0043011447,0.0046218582,0.0032950195,0.0038967186,0.004256398,0.004816658,0.0031850862,0.0037222917,0.003959057,0.005604085,0.00309444,0.0037954967,0.004109287,0.005482996,0.0031603025,0.0037780765,0.004143935,0.004705877,0.0030934522,0.0038579807,0.00498643,0.0051133083,0.0031805288,0.0038879232
0.0031422572,0.003905891,0.0033489636,0.003933744,0.0031971787,0.004004287,0.0027291998,0.0031537197,0.0033500772,0.0041285018,0.0026887236,0.003155601,0.0031419129,0.0037337097,0.002805867,0.0031300064,0.0031755574,0.004914725,0.002817737,0.003103213,0.003235614,0.00495765,0.002766418,0.0031671734,0.0035944562,0.0044294884,0.0027850238,0.0031461597,0.0036981578,0.0038049535,0.002752764,0.003052502
