model,layers,estimation,hidden,lr,epochs,seed,valid_mse,valid_qlike,test_mse_diagnostic,test_qlike_diagnostic,selected
GNNHAR2L-IV,2,MSE,8,0.001,500,20260606,1.055162787437439,0.0008717250893823802,1.1798021793365479,0.0009080343297682703,False
GNNHAR2L-IV,2,MSE,8,0.003,250,20260606,1.0106204748153687,0.0008531608036719263,0.956356406211853,0.0008050668984651566,False
GNNHAR2L-IV,2,MSE,8,0.003,300,20260606,0.9658960700035095,0.0008211869862861931,0.9215197563171387,0.0007687423494644463,False
GNNHAR2L-IV,2,MSE,8,0.003,500,20260606,0.914632260799408,0.000787939119618386,0.9025278687477112,0.0007441960624419153,False
GNNHAR2L-IV,2,MSE,16,0.0003,250,20260606,12.186444282531738,0.006309329066425562,10.668695449829102,0.0072114309296011925,False
GNNHAR2L-IV,2,MSE,16,0.0003,300,20260606,9.362648010253906,0.005124876741319895,8.265409469604492,0.0057244147174060345,False
GNNHAR2L-IV,2,MSE,16,0.0003,500,20260606,2.8021440505981445,0.0021694106981158257,2.3319835662841797,0.0018316669156774879,False
GNNHAR2L-IV,2,MSE,16,0.001,250,20260606,1.8303691148757935,0.0014659137232229114,1.964880108833313,0.0017938282107934356,False
GNNHAR2L-IV,2,MSE,16,0.001,300,20260606,1.6487464904785156,0.0013092084554955363,1.8553752899169922,0.0017291177064180374,False
GNNHAR2L-IV,2,MSE,16,0.001,500,20260606,1.109850287437439,0.0009521250613033772,1.172301173210144,0.0010268792975693941,False
GNNHAR2L-IV,2,MSE,16,0.003,250,20260606,1.0391231775283813,0.0009321709512732923,1.0654184818267822,0.0009288544533774257,False
GNNHAR2L-IV,2,MSE,16,0.003,300,20260606,1.0391231775283813,0.0009321709512732923,1.0654184818267822,0.0009288544533774257,False
GNNHAR2L-IV,2,MSE,16,0.003,500,20260606,0.9635753631591797,0.0008463116246275604,0.9964590072631836,0.0008268265519291162,False
GNNHAR2L-IV,2,MSE,32,0.0003,250,20260606,3.323019504547119,0.0022212436888366938,2.888806104660034,0.0021740449592471123,False
GNNHAR2L-IV,2,MSE,32,0.0003,300,20260606,2.350804567337036,0.0017172055086120963,2.1169121265411377,0.001682843780145049,False
GNNHAR2L-IV,2,MSE,32,0.0003,500,20260606,1.4146090745925903,0.0011290302500128746,1.7272295951843262,0.0015702112577855587,False
GNNHAR2L-IV,2,MSE,32,0.001,250,20260606,1.1032465696334839,0.0009282553801313043,1.2622861862182617,0.0010646805167198181,False
GNNHAR2L-IV,2,MSE,32,0.001,300,20260606,1.036906361579895,0.0008849205914884806,1.140184760093689,0.0009479555883444846,False
GNNHAR2L-IV,2,MSE,32,0.001,500,20260606,0.9610154628753662,0.000831242126878351,1.0328336954116821,0.0008386961417272687,False
GNNHAR2L-IV,2,MSE,32,0.003,250,20260606,0.9213800430297852,0.000800764246378094,1.0020833015441895,0.0008311697165481746,False
GNNHAR2L-IV,2,MSE,32,0.003,300,20260606,0.9056230783462524,0.000791073078289628,0.9954755902290344,0.0008213532855734229,True
GNNHAR2L-IV,2,MSE,32,0.003,500,20260606,0.9056230783462524,0.000791073078289628,0.9954755902290344,0.0008213532855734229,False
GNNHAR2L-IV,2,MSE,64,0.0003,250,20260606,1.4205498695373535,0.0011516195954754949,1.648403525352478,0.0014903092524036765,False
GNNHAR2L-IV,2,MSE,64,0.0003,300,20260606,1.2491023540496826,0.001044471631757915,1.4864904880523682,0.0013763397000730038,False
GNNHAR2L-IV,2,MSE,64,0.0003,500,20260606,1.0572096109390259,0.000889900024048984,1.1938576698303223,0.0010088931303471327,False
GNNHAR2L-IV,2,MSE,64,0.001,250,20260606,1.038240909576416,0.0008751021814532578,1.1185965538024902,0.0009304248378612101,False
GNNHAR2L-IV,2,MSE,64,0.001,300,20260606,1.0201412439346313,0.0008550879429094493,1.0633831024169922,0.0008641787571832538,False
GNNHAR2L-IV,2,MSE,64,0.001,500,20260606,0.9634073972702026,0.000807843403890729,0.9993223547935486,0.0007881938945502043,False
GNNHAR2L-IV,2,MSE,64,0.003,250,20260606,1.049683928489685,0.0008389204740524292,1.0183597803115845,0.0007950029103085399,False
GNNHAR2L-IV,2,MSE,64,0.003,300,20260606,1.0376999378204346,0.0008308539399877191,1.0087591409683228,0.0007862639613449574,False
GNNHAR2L-IV,2,MSE,64,0.003,500,20260606,0.966779887676239,0.0008027785806916654,0.9601668119430542,0.0007669731858186424,False
GNNHAR3L-IV,3,MSE,8,0.0003,250,20260607,14.843685150146484,0.011596240103244781,14.908598899841309,0.015147320926189423,False
GNNHAR3L-IV,3,MSE,8,0.0003,300,20260607,11.477075576782227,0.0093228779733181,11.95950698852539,0.012131229974329472,False
GNNHAR3L-IV,3,MSE,8,0.0003,500,20260607,5.871924877166748,0.0051138438284397125,5.961885929107666,0.005259635858237743,False
GNNHAR3L-IV,3,MSE,8,0.001,250,20260607,3.2408347129821777,0.002817807486280799,2.4704086780548096,0.0024570105597376823,False
GNNHAR3L-IV,3,MSE,8,0.001,300,20260607,2.3167929649353027,0.001981157111003995,1.9869147539138794,0.0018424896989017725,False
GNNHAR3L-IV,3,MSE,8,0.001,500,20260607,1.4539576768875122,0.001207459717988968,1.5114468336105347,0.001256443909369409,False
GNNHAR3L-IV,3,MSE,8,0.003,250,20260607,1.2900439500808716,0.0010100435465574265,1.3300284147262573,0.0010308574419468641,False
GNNHAR3L-IV,3,MSE,8,0.003,300,20260607,1.1440603733062744,0.0009065779158845544,1.2011353969573975,0.0009274590411223471,False
GNNHAR3L-IV,3,MSE,8,0.003,500,20260607,1.0870716571807861,0.0008639134466648102,1.0940850973129272,0.0008308350807055831,False
