GHAR2H_M,GHAR2H_M_IV,GHAR2H_Q,GHAR2H_Q_IV,GHAR3H_M,GHAR3H_M_IV,GHAR3H_Q,GHAR3H_Q_IV,GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
6.5250974,7.5335464,8549.806,4522.8853,6.592174,9.971942,8468.891,4533.8774,6.4443827,7.296382,8813.191,4783.4326,90.79053,91.47323,701.56934,535.0227,87.83497,88.52272,610.54333,474.75177,90.866325,88.57047,724.26276,532.23145,87.895706,88.819496,682.09393,540.55914,90.76897,88.625824,720.8905,553.02264,6.3585277,7.2526674,11406.534,6540.0156
3.738641,4.511202,10011.723,5446.8535,3.7804394,6.153749,9913.828,5457.7983,3.7021384,4.327369,10327.673,5764.837,93.32653,93.950096,808.9912,626.8629,91.862595,92.37492,708.26807,559.68176,93.30667,92.309395,833.8439,624.6791,91.81718,92.452835,784.64325,636.66034,93.28336,92.34467,829.2702,643.8879,3.710494,4.3593345,13328.335,7791.468
11.513639,11.6815,9709.554,5710.5303,11.509974,12.937994,9790.348,5693.005,11.510212,11.684178,9924.07,6041.985,102.486916,102.50088,759.7842,616.3718,100.91299,100.27035,688.3878,575.5361,102.50268,102.53759,771.41406,617.50745,100.88478,100.860176,770.2788,593.3763,102.38713,102.210365,812.87366,641.8363,11.38646,11.586844,12257.465,7724.968
1.0432934,1.6397184,13342.977,7475.4736,1.0506471,2.6326747,13456.881,7453.297,1.0392793,1.6317283,13617.265,7916.0703,91.61768,92.12465,981.6886,787.3334,91.25802,91.69194,895.4072,738.3901,91.540245,92.05911,1002.2371,788.687,91.24191,91.767044,999.3418,756.27264,91.584984,91.74706,1058.8829,820.39435,1.0231425,1.6546085,16853.979,10024.914
1.5969554,2.0800471,11071.255,6081.0483,1.6169333,2.5310743,11149.83,6064.349,1.5610194,2.0543592,11212.326,6415.497,90.70927,91.0472,822.54553,657.02313,90.335365,90.717285,750.6528,611.37665,90.71077,91.02288,846.9241,659.2168,90.36715,90.70147,829.6145,638.99915,90.775055,90.72728,891.18097,685.4148,1.4832405,2.042327,13794.991,8320.556
8.448606,8.84668,10916.779,5847.1626,8.476835,9.038495,10990.364,5831.64,8.360733,8.804041,11019.523,6166.1455,95.72507,96.31355,802.60724,632.56055,95.456604,95.78,734.36444,588.9292,95.722664,96.323395,828.23944,635.38574,95.462234,95.89645,811.2693,615.79315,95.74457,96.03118,872.02026,660.6943,8.299418,8.800226,13485.099,7991.119
2.3286884,3.0910096,11445.438,5921.1304,2.3394284,3.5707152,11523.236,5906.9478,2.3131895,3.0647125,11536.287,6251.2383,93.870514,94.564125,843.736,650.609,93.50138,93.94323,772.94556,604.06213,93.7922,94.51945,869.79663,653.0587,93.48487,93.97232,852.4618,631.713,93.85838,94.12613,914.3234,677.4681,2.3017628,3.0720143,14047.309,8062.382
8.723349,10.08903,11476.224,5677.3516,8.733202,10.497682,11555.303,5664.186,8.717129,10.098276,11550.419,6000.148,111.7674,112.91013,835.6428,632.088,110.65133,111.32275,766.3637,589.29004,111.53734,112.761604,861.11664,634.28186,110.7477,111.458275,845.6169,612.6271,111.66935,111.75628,906.244,657.53314,8.766887,10.104382,13995.505,7686.2935
2.159464,2.8558402,15254.04,7325.0674,2.1249902,3.6872861,15368.277,7307.163,2.1998737,2.898088,15383.469,7774.254,107.28353,107.7717,1066.2148,792.50543,107.13219,107.27342,980.27466,742.7286,107.303276,107.76446,1095.6655,793.6023,107.15632,107.31891,1088.1003,759.41473,107.35999,107.34921,1156.5837,823.4741,2.2114477,2.9195719,18586.264,9730.814
8.411769,8.865128,11912.624,5517.3677,8.407831,9.376845,11989.928,5503.713,8.409735,8.859063,11947.347,5841.009,110.85507,111.34972,851.87695,622.0946,110.60267,110.73352,786.0277,583.54504,110.8544,111.372894,878.5845,624.20685,110.75333,110.8546,868.5564,600.5989,111.04689,110.88046,927.21387,646.91266,8.386258,8.875523,14309.508,7372.914
24.63891,21.199556,13468.826,6166.34,24.615229,21.067974,13554.835,6151.533,24.641102,21.285345,13480.046,6505.812,124.19923,121.38447,1143.0856,849.99023,125.349976,122.6531,1067.7954,807.0355,124.463196,121.29903,1177.591,854.0714,125.42644,122.48037,1171.1593,824.6428,124.24819,122.23989,1238.5258,881.23004,24.624828,21.204275,15951.656,8021.205
4.5415516,4.618567,1854.6074,804.7914,4.550631,5.4454303,1856.3156,798.07965,4.509639,4.6140394,1863.2057,864.3949,99.58742,99.541725,223.6468,168.22903,98.35839,98.43565,212.93217,155.87827,99.65376,99.5202,227.94759,165.07275,98.33524,98.47117,217.90538,163.15779,99.6424,98.676575,229.27019,166.4974,4.4250183,4.5626464,2228.2822,1193.5852
8.437494,8.062446,1853.9297,761.1631,8.447886,8.25304,1857.7288,754.9907,8.402586,8.055399,1862.4355,819.93097,101.57423,101.02987,218.40338,159.77588,100.80493,100.417336,207.67297,149.96402,101.592125,101.032715,222.05815,157.1047,100.78641,100.45139,213.76913,155.15422,101.61155,100.44576,224.31323,158.95332,8.283372,7.989024,2214.3936,1125.9594
2.187479,2.4849286,2425.587,964.0561,2.190739,2.819325,2432.9607,956.0599,2.169405,2.4802399,2451.084,1045.2723,94.21855,94.49025,262.72977,186.64578,94.01334,94.2708,249.74673,175.70605,94.233055,94.486084,265.39944,182.99095,93.98163,94.27251,258.7937,178.75317,94.226555,94.18924,270.72043,185.32544,2.118306,2.4681644,2907.3435,1393.3739
