GHAR2H_M,GHAR2H_M_IV,GHAR2H_Q,GHAR2H_Q_IV,GHAR3H_M,GHAR3H_M_IV,GHAR3H_Q,GHAR3H_Q_IV,GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.0016441406,0.0024563472,0.012337485,0.010801753,0.0016607457,0.002455986,0.012133486,0.010800289,0.0016390351,0.0017724066,0.011132166,0.01137581,0.03783665,0.037958726,0.026209243,0.026196966,0.0638033,0.041830428,0.025950287,0.025852306,0.042544357,0.03936931,0.026039502,0.026062815,0.051683124,0.04769715,0.02592781,0.026002713,0.037485156,0.04036376,0.02604742,0.026043031,0.0016039488,0.0017749581,0.011984087,0.010683985
0.0018706372,0.002095324,0.010686526,0.010960103,0.0018993216,0.0021074705,0.010548426,0.010938086,0.0018697712,0.0017746629,0.011873927,0.009990384,0.0345596,0.034718454,0.024605736,0.024479346,0.06019097,0.038056456,0.024432747,0.024259612,0.038395107,0.035795126,0.024517655,0.023909109,0.047617696,0.043762874,0.024430197,0.024390595,0.03439572,0.036626328,0.024562497,0.023913242,0.001904811,0.0017362536,0.012112781,0.011193053
0.0013349305,0.0015305631,0.011170469,0.01037937,0.0013331299,0.0017273963,0.011134867,0.010362011,0.0013465825,0.0015181954,0.011298382,0.010557523,0.031708177,0.031780496,0.022424875,0.022405047,0.03164491,0.031710587,0.022258643,0.022248292,0.03173317,0.03188647,0.022385987,0.022388816,0.031634737,0.031728473,0.022381393,0.022373956,0.031710032,0.033072848,0.022425938,0.022385709,0.0013848966,0.001549903,0.011874053,0.011020109
0.0027891982,0.0025597434,0.011824076,0.010761978,0.0028285976,0.0025365436,0.0118125575,0.010757174,0.0027171131,0.0025808078,0.011846959,0.010883846,0.035683803,0.035583414,0.025570828,0.025436481,0.03558077,0.035529528,0.025405474,0.025302453,0.03573859,0.035647746,0.025540635,0.02541817,0.035590827,0.03551452,0.025470447,0.025390387,0.035732873,0.035535477,0.02557357,0.025463527,0.0026209883,0.0025363797,0.012212403,0.011144024
0.0017909338,0.0018757163,0.011364003,0.01055802,0.0017875093,0.0020471157,0.01135388,0.010562292,0.0017992571,0.0018608052,0.011446851,0.010659824,0.034707278,0.034839097,0.024605282,0.024564095,0.034778144,0.03482343,0.024450496,0.024259875,0.034715835,0.034944825,0.024528533,0.024528312,0.03477082,0.034832437,0.024445225,0.024450243,0.034764793,0.034863353,0.02457799,0.024566889,0.0018165974,0.0018953935,0.0121334875,0.011211773
0.0026888796,0.002711112,0.011443701,0.010521259,0.0027009,0.002780632,0.011423491,0.0105145015,0.0026529704,0.0027190237,0.011483207,0.010626263,0.03593027,0.035937797,0.02550852,0.025500279,0.035771657,0.035794232,0.025329541,0.02525171,0.035908286,0.035799064,0.025437117,0.025446154,0.035763647,0.035856616,0.025340376,0.025386252,0.035897363,0.035766974,0.025482317,0.0254771,0.0026090129,0.002712547,0.0119012715,0.010958303
0.0007513098,0.0008434702,0.010379814,0.009265642,0.00075192546,0.0010080882,0.010364318,0.009269947,0.00073551945,0.00083754904,0.010444837,0.009376046,0.03461515,0.034664005,0.024079837,0.024042733,0.034548763,0.03458797,0.023939265,0.023845796,0.03460962,0.034740753,0.024027703,0.02400578,0.034550205,0.034587402,0.023937274,0.023971956,0.034597732,0.03457975,0.024050137,0.024004413,0.00071316387,0.0008486645,0.011073784,0.009903152
0.0010928258,0.0012904345,0.010600183,0.009751447,0.0010947937,0.0014100993,0.010588047,0.0097512845,0.0010797913,0.0012846978,0.010617562,0.009821858,0.035260767,0.035420466,0.024566721,0.02464675,0.03521269,0.03531777,0.024427133,0.024452023,0.03526163,0.035469882,0.024526963,0.024621319,0.03521024,0.0353142,0.024467284,0.0245723,0.03526227,0.035307888,0.024562923,0.02462312,0.0010713689,0.0013026281,0.011168088,0.01027826
0.005983335,0.005524045,0.014168967,0.012413598,0.0060016722,0.0055357567,0.014147454,0.012363499,0.005950247,0.0055394867,0.014176116,0.012404359,0.043617424,0.043234207,0.031168105,0.030643566,0.043485127,0.043185297,0.03110203,0.030598195,0.043613657,0.044690292,0.0311257,0.030614804,0.043526836,0.04314462,0.031013895,0.030641632,0.04362828,0.043233853,0.03113258,0.03067029,0.0059042,0.0055452096,0.014785378,0.012949382
0.0058273156,0.005585404,0.015750801,0.0136433495,0.0058369683,0.0058604027,0.015745461,0.013605825,0.0058490117,0.0055836113,0.015796268,0.013755346,0.041925512,0.041742653,0.030259173,0.02997363,0.041843135,0.04174053,0.030159773,0.029887771,0.04189699,0.042118385,0.03028805,0.029981088,0.041846436,0.041774616,0.030223873,0.029947871,0.041892953,0.04168784,0.030311178,0.029950807,0.005901238,0.0056356024,0.016503915,0.014475385
